"Response","tweets"
"neutral"," united  hiltonworldwide  caravannyc  maysvillenyc  let s go  join me on my first trip back to nyc   as a tourist   http   t co egaejtrglb"
"negative"," southwestair my trip is a month away   why do you consider it  around the corner   is that a setting i can change "
"neutral"," virginamerica nice to see you expanding in texas but don t forget about us here in  sandiego  i would love to see more flights out of here "
"negative"," usairways now on hold with customer care   wonder if someone will pick up the phone before 5pm "
"negative"," southwestair my bag was lost  and according to the rep they don t even know where it is  please help "
"negative"," southwestair jumped the gun a little cancelled flighting our flights  no other airline is cancelled flighting out of louisville  you re ruining my vacation "
"negative"," usairways this response doesn t correct the fact that your pilot failed to keep passengers updated"
"neutral"," southwestair any deals to orlando in april may  "
"negative"," americanair flight attendants on aa2402 were spectacular fed the entire cabin then food from coach  why do you keep serving this vile food"
"negative"," usairways i bougth ticket same fligths twice and you dont refund money it is big problem other company refund money why dont u pay back"
"negative"," united u bums how do u lose the biggest bag on the flight"
"negative"," united common   keep your paper work ready and don t delay our flights  1585 and meetings  choosechicago"
"negative"," united if you re listening  why are you the lowest provider of inflight wifi  get with the times "
"positive","chair  selfie   jetblue   stacycrossb6  phlairport  saharasams  everyone looks  flawless    we re so proud of our phl crew   blueheros   "
"neutral"," americanair my friend needs some help on her flt  she s not on twiiter   can i dm you her info "
"neutral"," americanair i thought all those planes were retired   md80"
"negative"," usairways i   ll do that in addition to reviewing on my blog  your agents were pleasant but the experience was less than   "
"negative"," virginamerica hey  first time flyer next week   excited  but i m having a hard time getting my flights added to my elevate account  help "
"negative"," usairways reservations had me on hold for 2 hours only to hang up   smh     "
"positive"," americanair it was 1265 coming and next catching 2396 home to dca  let s get another great leg too tonight "
"negative"," united today take flight to san francisco     refuse to let us board with baby early    time we board wont let us take baby carryon bag"
"positive"," americanair  cxl flight  rebooked 2 pax no problems  thank you and everyone at aa for helping us all out "
"negative"," united i was rebooked but had to take bus from portland maine to boston  told united does not cover the charge "
"negative"," usairways great job today in ruining 45 people s vacation  thanks to your incompetent pilot and staff we have all now missed our flights"
"negative"," usairways next time you promise an ontime departure you should stick to it instead of stuffing us in this sweat box with no air"
"neutral"," americanair do you still use dc9 s "
"negative"," united i think i left my phone on my flight  help "
"negative"," united  jedediahbila why is united voted every year as one of the worst airlines  do enjoy that title  you should give jedediah free passes"
"negative"," usairways new problem   had wrong last name on reservation which is airways fixed  new can t get through tsa"
"negative"," southwestair yall say flt 4200 is on time  yet we haven t boarded for a 3 35 departure b c we are waiting on a new crew  why the subterfuge"
"positive"," jetblue you definitely will "
"negative"," americanair but not sufficiently sorry to actually  do  anything about it  i guess  your systems are presumably beyond reproach or reform "
"neutral","please don t  rt     jetblue  our fleet s on fleek  http   t co gdzadxzbya   "
"negative"," usairways  americanair  best u could do i might get my refund within 2 billing cycles  months of u guys asking for another chance  i m done"
"neutral"," usairways will shall see in the next couple of minutes "
"negative","  jetblue  zkatcher                     omg  bored  amp  read through this convo   seems like jetblue is on point "
"positive"," united thanks"
"negative"," americanair are you a bot  haha always same lies from you "
"negative"," usairways i ve been on hold at the reservations desk for 3 hours  help    "
"negative"," united on top of that i paid for 1st class and my wife got stuck in coach "
"neutral"," usairways  cakendeath question is will he and his lady behave   "
"negative"," americanair there was also not one single person at the counter answering questions for our plane full of confused people  no staff at all "
"negative"," americanair so bad service in miami  airport  "
"neutral"," virginamerica you know i m flying virgin for the fight  mayweatherpacquiao"
"neutral"," southwestair could you maybe hook   fuyukaidesuyo   with some imagine dragon tickets tonight  shes a hugeeeee fan  amp  would really love to go"
"negative"," jetblue alternatives   you have absolutely no respect for loyal customers   8 years   no more   i m done "
"negative"," jetblue still waiting for bags from flight 26  it landed an hour ago "
"negative"," southwestair after flying delta this week  gogo was so good  the tweet i sent you didn t even send until we landed   that s how bad it was"
"negative"," united just got demoted from gold cuz my hubby got 100  of the pqd  tho there were enuf   spent for 4 golds  spousal discrimination angry "
"negative"," usairways your app sucks balls compared to  americanair"
"neutral"," southwestair needs to offer a college student discount so i can fly home         "
"negative"," jetblue false   agent let us do an extra leg room upgrade for   but not upgrade to mint  poor business practices   badcustomerservice"
"negative"," united installed and working are not the same  kicked me out after an hour and wouldn t let me back in  four wasted hours "
"negative"," usairways i spent an hour on the phone with them and got no where at all"
"positive","just got off the phone  americanair customer service  only 8 minutes to get my issue resoled  you guys are awesome "
"negative"," usairways at which point in told they have sold my voucher because i wasn t fast enough"
"neutral"," southwestair continues to prove to be the best airlines     "
"negative"," united negative  done wasting time with amateurs at customer service  thanks for at least offering "
"negative"," americanair you know i love this airline  but why are my friends  megentripodi  jordnnicole7 having such a problem retaining info they need"
"negative"," americanair oh that seems to have undone the seat selections in mce  we only wanted the cx card on there to select the free seats"
"negative"," southwestair  flight today from phl to dal cancelled flightled  96 min on hold  rebooked for tomorrow  now that flight is cancelled flightled   on hold again "
"negative"," usairways how long for a reply"
"negative"," united  christinebpc    and on some versions of the 738  row 11 has no window at all  go ahead  check  we ll wait "
"negative"," usairways how can i make a purchase  you take the money but i don t have a reservation   explain"
"negative"," jetblue anything serious i should worry about "
"negative"," usairways 1729 connecting in charlotte to houston  mechanical issue determined while q d to take off  and we checked our bags "
"negative"," americanair i had it until last night  but because  severe weather  i could make the needed changes and now fair goes up 150 each "
"negative"," jetblue we tried  they re not at all helpful  terrible customer service  at this airport  at least "
"negative"," jetblue what is happening with the flight from fll to sfo  why the delay and the reroute "
"negative"," united i was rebooked thru sfo but arrive 9 hours late flight and miss activities  i asked to fly today with stop over  was told i d have to pay "
"neutral"," real rt  jetblue  our fleet s on fleek  http   t co erzht75kqz"
"negative"," usairways deedee and lynn s  have been great here in phx  richard p  here was a jerk  rude to us and our parents for no reason "
"negative"," united this delay of flight ua4636 has been painful  i sure hope it doesn t cause me or my luggage  to miss my ua82 flight to new delhi "
"neutral"," jetblue just signed up for trueblue and booked a flight but keep getting an error when i try to link it to my tb account  what s the deal "
"neutral"," united i can t dm you so here s the confirmation   g8cvwj   please is there any way i can make it to kailua tonight  thank you"
"positive","  jetblue handled  0xjared s question like social media pros  good practice for when our transportation systems are all run by friendly ais "
"negative"," usairways pure anarchy on flight 555 to slc  people walking in with nothing packed in bags with arms full of stuff   getittogether"
"negative"," americanair any hints to get through to and stay connected with you to rearrange weather relate flightd cancelled flights  hours in now w nothing "
"negative"," jetblue why wouldn t you just credit it right to my account instead of having a separate sign on  that seems pretty ridiculous "
"negative"," americanair  ezemanalyst why don t you tweet canned  impersonal responses as though this is the only impatient customer you ve got"
"negative"," united unfortunately had a bad experience flying with you on saturday  inpolite crew  bad delays "
"neutral"," americanair this receipt doesn t show the evoucher value nor does it mention having used an evoucher"
"negative"," united no chance i wait in ord all afternoon for another flight after you screwed me  hold 5396"
"negative"," jetblue yes  3 times  i need some one to call me and help me change a flight  i can t do online  thanks "
"positive"," united i appreciate the follow up "
"negative"," southwestair trying to add my dog on the flight but can t get through "
"negative"," southwestair any etd for swa1004 from phl  appears delayed but no info available at gate "
"neutral"," united correct   what s correct   sorry i m lost"
"positive"," southwestair yes  i did and the bags came straight to my hotel  thank you    you guys rock "
"neutral"," southwestair you should have assigned seating  because now my cousin  amp  i probably can t sit together on our flight tomorrow   thanks "
"negative"," americanair your planes made me miss 2 connections in 2 days  thanks for nothing"
"neutral"," united what gate is ua5396 leaving from "
"neutral"," united i send you an urgent message via eservice united com   bg0kwm   narayanan  please respond asap  also  no local united tel     kul"
"negative"," united if you lost my belongings then be honest "
"positive"," usairways thks us  1786 2 19 phl to fll  overall 1st class has improved with more food now on phl to fll and most crews are super "
"neutral"," southwestair the opal dragon book the dragon  ali  has woven his murdering ways from the philippines to australia http   t co c9p2iosphm"
"negative"," americanair finally made it to chicago   13 hours late flight   did get a  12 food voucher for my wait about  1per hr  never again  good bye "
"positive"," virginamerica i luv ur people and product  1 thing is y do u charge for herbal tea but not black tea  i m not a caffeine drinker"
"positive"," southwestair thanks so much  appreciate your kindness in adjusting our reservation  even during snowstorms  i still prefer southwest      "
"negative"," united thats weak  see ya      hey  virginamerica   "
"neutral"," americanair boarding in 2mins yay    "
"negative"," usairways now you don t know where my luggage is   seriously "
"negative"," united most terrible flight experience happening to everyone right now on flight ua1750 6 delays 4 hrs total missed all my flights now thnx"
"negative"," americanair interested in possibly changing my flight to another day   need to see if there are any fees but your number is busy"
"negative"," americanair redirect my flight without telling me  service is abysmal "
"positive","    virginamerica   karinslee of course  have fun celebrating     thanks  happy chinese new year "
"negative"," usairways it s not like i m trying to leave earlier just for fun  i don t want to get stuck in dc if we have bad weather in rdu "
"negative"," southwestair 2nd leg of trip cancelled flightled  been on hold 1 5 hrs  will we lose our   if we don t speak to someone before first flight leaves "
"negative"," americanair i purchased main cabin xt for f 1571aus  flight was cancelled flightled and i was rescheduled on 1600 with regular seats  credit "
"negative"," usairways flight 813 dca to clt stuck waiting on clt atc  cmon  faa missing flt 826 clt to mbj  hope you can rebook me  816 "
"negative"," united and waiting"
"neutral"," jetblue celebrates 15 year anniversary with new livery   digital journal http   t co u5hxri6crx"
"negative"," southwestair while you clearly didn t care about our troubles yday thought i d share bags took  gt 90min and came back absolutely drenched  "
"positive"," jetblue thank you  i m excited to fly with you for the first time "
"negative"," united   flight cancelled flightled  4 hrs at airport to book a new one for  95  just got two invoices for the flight  each for approx  300  really  "
"negative"," americanair   i was told my flights 2516  amp  2244 was cancelled flightled  but i don t seem to have any date time changes  i ve been waiting for a call"
"negative"," united you guys need some serious training in customer service  too many better options to put up with the way you guys handle ur mistakes"
"positive"," united  thank you for a great flight in gfc    cheers http   t co nvlnglnmgn"
"neutral"," united  checked in   boardingpass w no checkin bagage  guess i m all set     "
"negative"," jetblue is today s jetblue flight 918  nyc  gt bos  delayed  my app says on time and the website says it s not   "
"negative"," southwestair up at 4am and arrive to find it already cancelled flighted  no options so miss my meeting  you might  know  but don t show it "
"negative"," united i am now following you and see that i am not the only one experiencing and noticing a substantial downgrade in service post merger"
"negative"," americanair i ordered it as i always do  but on a 9hour flight delayed for 4 hours  it was worse than ever before when you forgot my meal "
"positive"," southwestair  michaelbcoleman   thanks for making new direct flight to san francisco "
"neutral"," southwestair microsecond too late flight so very very sad                                                     "
"neutral"," usairways no  this is a systemic problem  mail comes from 153 69 214 203 but usairways spf record disallows it  dm me for more detail"
"negative"," united 8 hours late flightr and i m siting on another plane waiting to leave  i think a credit is in order for this terrible service "
"negative"," usairways missed flight  rude csr  no flight till tuesday  no answer on twitter  help me out with a rt  pattonoswalt you re my only hope "
"negative"," virginamerica trying to check in   but looks like your site is down "
"negative"," usairways hey    yeah last time i got a phone call when flight was cancelled flightled from dca to bos"
"positive"," united looking forward to flying with you guys as well   "
"negative"," united i understand the intention  but it pales in comparison to a day of lost wages for both my wife and i because of the delay "
"negative"," united additionally  my husband paid for tv service  amp  it stopped working about halfway through the flight "
"positive"," americanair i appreciate your apology  sincerely  thank you  that s really all i ever wanted to begin with "
"negative"," usairways has no idea what customer service means   as the customer  if you mess up my plans  don t treat me like its no big deal "
"negative"," americanair  united just deplaned at o hare gate k13  why don t you send a customer service rep to discuss my situation  god knows   "
"negative"," united  customerservice  fail long time flyer switching airlines  frustrated"
"negative"," americanair my flight tomorrow is cancelled flighted you guys just keep letting me down"
"negative"," jetblue complete waste of an entire day  pathetic "
"neutral","    jetblue  our fleet s on fleek  http   t co clu5pdprhp      "
"negative"," americanair i have been waiting at this airport since 11 am and have to wait until 8 30 tomorrow and cannot get any sort of help "
"negative"," usairways called 3x  amp  it says high call volumes call back  at  1 a minute for international calls is there any way someone can contact me "
"positive"," united so excited i was put on an earlier flight to get home  woo hoo   travel             "
"negative"," usairways what is happening at reagan airport dca  long lines and four people working checkin   unhappy  dca"
"negative"," united is my flight delayed  it keeps changing between delayed and not    if delayed is checkin time late flightr    http   t co ntuix5dbyr"
"negative"," usairways final count 3 hours 24 minutes on hold to be told i need to log in to u s  airways website and there was nothing else to be done"
"positive"," united you too "
"negative"," americanair  elwoodblues77 i m sure he understands the rules but you guys just have zero customer service  staff your damn counters "
"positive"," jetblue  ferrissalameh love jetblue s speedy twitter customer service "
"negative"," united stuck in dc trying to get to denver  the engine shut down twice on us at the terminal  got any available flights for me "
"negative"," usairways 7  hrs stranded in dca   zero apologies and the worst customer service  been a faithful traveler for 15  years  but no more "
"negative"," southwestair due to an apparent water issue that checked out fine during the checks my husband and i already had to deal with our first"
"neutral"," jetblue such a bummer   but i understand it s a business deal  thanks for answering me   much less sad now "
"neutral"," united i have a question"
"negative"," jetblue  dgruber1700  oh wow and i m complaining about two hour on the run way shucks jetblue not good your service was better than this"
"positive","  jetblue thx for confirming  again  yr team is awesome  thanks for the prompt  amp  helpful response  cheers to less snow in everyone s future"
"positive"," southwestair love imagine dragons  so much i eould die if i got tickets"
"neutral"," usairways sadly they ve tried that and airport agents   no flights so they re stranded at phl  no chance of a hotel for them "
"negative"," usairways does anyone from your airline know how to do their job "
"negative"," usairways booked an award ticket recently  now same ticket is less miles  how do i contact you without using the online form or phone "
"negative"," jetblue how long does it take for a bag to get to the baggage belt      toolong of a wait"
"neutral"," americanair do you have any flights with lie flat seating from stl to pdx around the date of march 5 "
"neutral"," united just submitted my response on the link you sent "
"negative"," united  customerservice at  dulles airport could not be worse  i get the bad weather  but this is awful "
"positive"," virginamerica for my grandma ella s 80th  she would  lt 3 a bday greeting from your flight crew  she was a stewardess for eastern airlines "
"negative"," usairways printer problems causing us to sit on the runway for 45 mins  get it together "
"positive"," southwestair thanks  436  only a minor delay so not a big deal    appreciate the concern though  boarding now  you do have amazing service "
"negative"," usairways i listed my baggage claim number   have them call me  my number is on the ticket   i had to use lady speed stick this morning "
"positive"," united this is why i fly  southwestair     never have any issues"
"negative"," southwestair i did  but no one can find the bag and we need everything in it in the next two hours "
"positive"," jetblue definitely "
"negative"," americanair why offer automated call back option when agent is available only to call me  amp  have me sit on hold  at 12 30am   onholdfordays"
"negative"," united my bag is a few days late flight to me and this is like the 3rd time in the past couple months   where my free miles at  "
"negative"," usairways how can a person go from number one on a standby list to number twelve in three hours   should i be super platinum diamond status"
"negative"," usairways   had to call to find out i was re booked tomorrow  why ask for my number an email for day of info"
"negative"," americanair stiiiil waiting  please respond as my flight leaves in 2 1 2 hrs"
"positive"," usairways no problem   things worked out at airport    thanks "
"negative"," southwestair why  when i booked via phone after calling the a list preferred    didn t my kta get added to the ticket    must i use web "
"negative"," usairways thank you for continuing to be the worst airline out  didn t need that extra hour of sleep after 29 hours of travel anyway"
"negative"," americanair my seat is disgusting  old and dirty  when are you going to refurbish this plane   us air 597 jfk to phx"
"positive"," southwestair got mine   just in time for the wife and my 15th anniversary "
"neutral"," southwestair will do   if you follow back i can dm that info"
"negative"," united is to airlines as  comcast  xfinity is to cable internet"
"positive"," jetblue first airline to use  applepay in flight  airlines"
"negative"," southwestair wifi on my plane but i gotta pay for it  help your broke homegirl out          "
"negative"," southwestair no  told to call cust service on monday"
"negative"," united  albanyairport delayed departure to check bags at gate claiming space filled and walk on to open spaces a delay  poorcustomerservice"
"positive"," americanair 1138 got us to lga safely  thanks for taking the time to make the plane safe before flying "
"negative"," usairways he waited over two hours on the phone  had to book and get to mi  family member very ill  time of the essence"
"neutral"," southwestair in my letters to follow  i will be sure to include my rewards number  twitter handle  and email address "
"neutral"," virginamerica partners with  visa checkout as mobile payment method to help boost mobile conversion rates  etailwest  payments  visa"
"negative"," southwestair darn  i bought it on the wrong device  no way to switch i m sure "
"positive"," united have michelle at t1 ord train your other staff on how to treat customers  a refreshing pleasure to deal with "
"negative"," united booked flight in sept to get best price for april to usa  checked now and they are    67 cheaper  what a con unhappy customer  ripoff"
"negative"," jetblue what s up w flt 4  brothers fianc   sitting on board for 30mins w tech  issues "
"neutral"," southwestair oh  is it only in atlanta "
"negative"," jetblue update please on why flight 2601 continues to be further delayed"
"negative"," southwestair so for an extra luggage  it cost  75    "
"negative"," usairways  united really know how to leave someone stranded after a funeral  props to you guys  really making this the perfect monday "
"neutral"," jetblue i hope so because i fly very often and would hate to change airlines "
"negative"," americanair and just bad cs  i will be back on  jetblue  at least when you stuck they look out for you and apologize for any trouble"
"negative"," americanair thanks for the generic computer generated response  how about you accommodate your travelers instead of just saying sorry"
"negative"," americanair or at the very least an explanation on why no one told me my flight was cancelled flightled "
"negative"," united does customer care have email or a phone rep that i can speak with  we had so many issues they can t be placed in 2000 characters "
"negative"," usairways  flight missed due to mech issue  no food voucher  transported to different airport  no rental reimbursement     "
"positive"," southwestair lol i already am   i am a card member as well too lol i enjoy flying with you guys"
"neutral"," jetblue short stop at jfk before iad"
"neutral"," jetblue i would go to italy to visit my relatives and see the house my dad left when he passed "
"negative"," usairways commitment to excellence is 2b praised  can get you to the wrong city 2 days late flight or the right one 3 days late flight   customerservice"
"negative"," americanair your 1800 kept hanging up on me and made me miss a second flight"
"negative"," united that s what you have said for years  you are losing customers      "
"negative"," jetblue can we get a honest update on departure of flite 454  been on plane with infant children"
"negative"," virginamerica  i submitted a status match request a while back and still haven   t heard  i   m flying on monday  can you look   accelerate "
"negative"," americanair are you kidding me   no one answering calls on reserv line due to high call volume and not even an option to wait   brutal"
"positive"," usairways thanks very much  i got thru on the phone  amp  everything is fine  just love the website  amp  app   thanks for working on it "
"negative"," southwestair yo  i m trying to make a change to a reservation but whenever i select the flight it says   unable to price   please help "
"negative"," usairways never flying  usairways again  horrible experience  terrible customer service "
"positive"," jetblue okay thank you  i ll check with them again "
"negative"," southwestair we didn t nothing was ruined just wet  just frustrating when after traveling for 12 hours you can t change into clean clothes"
"negative"," usairways i made a reservation online but i didn t receive any confirmation email  my bank said the transaction went through  can u help "
"neutral"," usairways new marketing song  https   t co f2lfulcbq7 let us know what you think  http   t co wbhbljjks7"
"positive"," southwestair i tweeted several times last week about flight info during storm  always a timely tweet back   thx      "
"neutral"," united how much is baggage check for international flights "
"negative"," americanair i have been rebooked for the 7am flight  my questions is  why do some people get hotel and the others don t like myself "
"negative"," usairways you have got to be kidding me   no info on 4565 from dca to bgr and your phone line tells me to call back late flightr "
"positive"," jetblue awesome  thanks  on hold now "
"neutral"," jetblue hope so  looks nice and warm in san juan     "
"neutral","    jetblue  we   re looking for our next  flyingitforward flier from dc tell us where you d fly  amp  why http   t co mcsi0dzpnz     geekandahalf"
"positive"," jetblue it was fabulous  very pleased "
"negative"," usairways great job communicating to the passengers  flight 1855 doesn t exist anymore  http   t co hlzahxkdsn"
"negative"," usairways flight 4524 delayed for 2 hours for a deadhead crew   lets make 150 paying customers wait    that is great service  usairways"
"neutral","jetblue reading the nytimes      jetblue  our fleet s on fleek  http   t co lvirtdtqly   "
"neutral"," united as a million mile flier i m embarrassed to ask how long ago his launched "
"negative"," americanair aa919 flight attendant freaks out and leaves aircraft as passengers react to a 24h delay and cattle treatment  surreal "
"neutral"," americanair yea no worries  i m just going home to denver  not your fault  weather sucks bad "
"negative"," usairways i don t want a reservation change  just adding a service  am going public with this to get help "
"negative"," americanair my flight 386 from jacksonville fl to dallas is showing cancelled flightled  what is going on   am i rebooked on another flight "
"negative"," southwestair i never got a cancelled flightlation text from this morning either  bushleague or a number to call  weakservice"
"negative"," americanair as your flight attendants are an extension of your brand   bitchy flight attendants on 5 30 am flights are not appreciated "
"negative"," usairways still on hold  1 hour and 45 minutes and counting  platinum  who cares  problems checking in  who cares "
"neutral"," jetblue any good deals for march   looking to fly to orlando "
"negative"," americanair my flight to dfw from lit on my way to pdx tomorrow was cancelled flighted  can you help me "
"neutral"," united phone"
"positive"," jetblue airways reveals  bluemanity  livery   travelpulse http   t co fttfyfmvco"
"neutral"," jetblue or         how about a 1way lax nyc area  under 190   is this possible  "
"negative"," united about 3 hours ago  i need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere "
"neutral"," americanair message and pics sent   "
"neutral"," southwestair any chance there s a few seats open from den to dal this afternoon "
"negative"," united poor showing today  no assistance to passengers who mis connected due to maintenance and waiting for baggage"
"neutral"," southwestair hi there  we   re flying swa today  our son has a peanut allergy  any way to request the crew not serve peanuts on flight  thx"
"negative"," usairways i m sorry as well  it s been 24 hrs without my bag and i can t get a straight answers  i m on call  6 for today "
"negative"," united so much for being here to help  very disappointed in your customer service "
"neutral"," jetblue hi  i m trying to find a flight to the middle east "
"negative"," united  rayja9 flying to las vegas out of chicago flight is late flight and no announcement has been made"
"positive"," southwestair dm sent  thanks so much for responding  your response was so timely  i missed it "
"negative"," americanair no  it does  you could not be more wrong  http   t co 66nxzhbbmt"
"negative"," united if you don t like delayed bags  why do you let it happen so much "
"negative"," usairways your delayed flight out of wilmington made me miss my flight out of charlotte  figure out how to take off and arrive on time "
"neutral"," united bagage which i take to in the cabin i dont need to check in correct "
"negative"," united there are a lot of unhappy cold people on the bridge in freezing temps for an hour  not given any info "
"negative"," united  i understand that but why should i pay to change if it was a problem with your plane  if it was weather i would understand"
"negative"," jetblue highlight of my travel is 3 hour delay and de icing twice  now sitting in bumper to bumper traffic in taxi to finally get home      "
"negative"," americanair is the 24 7 phone line open  on hold for over 2 hours now  your check in agents cannot help at the airport itself  please help "
"negative"," united why do i have to give up my leg room so these 4 people  not in my row  can fill the bin   pls start charging  http   t co 2ny5tuxfqf"
"negative"," usairways yup 1 34 minutes was my limit of waiting on hold so thanks for nothing"
"negative"," united my flight was supposed to depart to boston at 4 36 and now it s departing at 6 30 due to issues with finding a pilot  thanks a lot  "
"neutral"," usairways how can i get ahold of a reservations supervisor "
"neutral"," jetblue s ceo battles to appease passengers and wall street   lake wylie  pilot http   t co jgor0vdi3s"
"positive"," southwestair thank you for the vouchers after the long wait on the runway saturday night at bwi  i really appreciate it   swfan"
"neutral"," united exactly"
"negative"," americanair to announce during boarding that you chose to limit catering to the point that you will run out shows a lack of planning  imo "
"negative"," usairways this says it was estimated to leave an hour ago  it hasn t left yet  so thanks for this useful information   theworstairline"
"negative"," usairways your checkin at  phlairport is a  shitshow  and the agent behind the counter who tried to send me to the wrong destination rude "
"positive"," southwestair scott is the best    thank yo from the bottom of my heart     destinationdragons with friends in la  hayleymad see u friday"
"negative"," usairways looks like you lost another customer  when you stranded  41cgqueen at clt she vows never to fly with you again  smoothtransition"
"negative"," americanair  when do you anticipate decisions for cancelled flightlations at dfw tomorrow morning  need to rearrange hotel reservations  etc  asap "
"negative"," americanair trying to get home is beyond complicated  it s should not be this hard  students are split up and we will not fly aa ever again"
"negative"," united  where we trick you into making us look popular on twitter by being the worst airline   wellplayed  jokesonus"
"positive"," usairways thanks   if you have another method also that would be nice   appears to be a design flaw"
"negative"," united i need help but in spanish"
"positive","thank u          jetblue   itslaloca but of course  safety is always 1st   we ll make sure to handle her with care and love        "
"negative"," usairways hi  you lost my father s wheelchair  every time we call we just get voicemail  my dad needs it to go home  please dm me "
"neutral"," united lounge    heathrow used by  airnzusa http   t co 6hjucp694l"
"neutral"," jetblue i believe that the website said i could receive credit for upcoming flights since i cancelled flighted my last one  is this true "
"negative"," united i would appreciate a response regarding the pressurization failure on flight 1109  you seem to be responding to less serious issues"
"positive"," southwestair your terry is our hero  got my husband back thru security to retrieve cellphone left on plane in austin  terry  85832 u rock "
"negative"," united your agents forced me to check a carry on bag  when i received my bag i found your crew had stolen from me  u lost my business "
"positive"," americanair chicago seen from seat 6a  aa 1620  so far a great ride  on to pdx  http   t co x4rsvagijn"
"neutral"," americanair can you use the aa credit platinum select world mastercard for alaska flights   or just american "
"negative"," usairways  rylietolbert15 wow you wouldn t say"
"neutral"," united if i have credit from a flight i cancelled flightled does the new flt have to be booked by 1 yr from orig purchase date or flown by that date "
"negative"," united so we fly into sfo and honululu gets pushed back 3 5 hours and now it looks like more delays   i beg of you plz sort this out soon "
"positive"," united flight to rsw tonight  me  amp   twin 3 year olds  a pilot who was in row by me stayed to help me get the boys  amp  bags off  lifesaver  "
"negative"," united no u don t"
"negative"," united you are a f amp  king joke  your customer service is woeful  if your staff tell a passenger that they will do something do it "
"negative"," united what is going on with baggage claim in newark  tiredandwanttogohome"
"neutral"," americanair who s your pick for best picture  i don t want to board your airline until i know"
"negative"," united i wonder if sharing all this on fb and insta would produce a number  140 characters really limits my story telling "
"neutral"," southwestair how about some sweet promo code to help me visit my family        please       lol"
"negative"," usairways well then that is a horrible flaw in your system  2 hours in the past day i ve wasted  i ve got a job  amp  family this is crazy"
"negative"," usairways flight 435 is delayed so will miss connecting flight 457 can you please help with alternate  thank you "
"negative"," southwestair heard apology  45 times in the  gt 60 mins i was on hold  now flying from another airport at a different time but delayed again"
"negative"," united how about after 2 5 hrs at ord another  5 on the tarmac   refuse to move me to an earlier flight you make it up to me   iflyalot  bs"
"positive"," southwestair great job   looking forward to my next trip being able to use this new feature "
"negative"," united why doesn t my daughter  booked with my gold member miles  get on the upgrade list for her flight tomorrow "
"neutral"," southwestair  theellenshow  imaginedragons this job interferes w ellen show  amp  concerts  will alway treasure my  liveatfirefly experience "
"negative"," united 2 cancelled flighted flights late flightr  agent claimed she put me on a new flight but then cancelled flighted it  coworker got on flight  now delayed  now "
"negative"," united rushed through the  6 degree weather to get to the airport on time  too bad the pilots didn t do the same   stillwaiting "
"negative"," jetblue i now learned that customer service at sxm works for the airport  not jetblue  they need a supervisor to do anything "
"negative"," united i fly  americanair normally   this doesn t happen to me with them   i ll let your flyers provide their own feedback  thank you "
"negative"," southwestair twitter cust svc rule 1 dont say if we fell short  i just told u u did   2 if u cant solve problem don t say anything at all "
"negative"," usairways finally spoke with someone  i have to email the refund dept  i love you guys  but 6 hours in line to be told no dice sucks "
"neutral"," united its available online i just can t figure out how to do it to guarantee same flight"
"negative"," americanair   emmaclifford no  at jfk you sort of have to guess things out  it s a small airport  so whatever "
"negative"," americanair  maxfitgirl29 next time fly southwest   "
"negative"," usairways never in my life have i dealt with such poor customer service  irresponsible staff and lack of care lga iah day 2  baggage in nc "
"positive"," southwestair you are the easiest airline to deal with   i loveeee you so much"
"negative"," united i m not sure why i expected anyone to be here http   t co bnflhpxtmw"
"negative"," united our 1 layover itinerary was swapped for a 3 layover itinerary   really   "
"negative"," jetblue we haven t even gotten off the plane yet  i can t afford to miss my flight back to boston  ugh "
"negative"," virginamerica i tried that  you offered to charge me an additional  1k for a new ticket or be stranded until thurs  1st time  last time "
"negative"," americanair none of the  lax flights into  dfw have been cancelled flightled  those landing before and after ours are fine  completely arbitrary "
"negative"," usairways  americanair   can flight  415 get the paperwork inputted   we should have taken off an hour     sittingontheplane  hungry"
"negative"," united that doesn   t make any sense  i   ve been 1k for over 5 years  and you   re making it harder to keep me loyal "
"positive"," virginamerica only way to fly   elevate  gold"
"neutral"," usairways but it s not their fault  because their policy says they at least got us to our destination  really "
"neutral"," united hi guys  do you have a general enquires email address please  thanks david "
"negative"," jetblue i m trying to add my 2012 flights to my badges account but i don t see an option  help plz "
"negative"," usairways  americanair on hold for 8 hours yesterday w o speaking to an agent on hold again w  2 phones  30 mins let the bashing begin   "
"positive","     rt  virginamerica  you   ve met your match  got status on another airline  upgrade   restr   http   t co rhkamx9vf5  http   t co pyalebgkjt"
"positive"," usairways great  thank you "
"negative"," southwestair i want to file a formal complaint against a disgruntled employee   laguardia who ruined mltple people s travel plans yesterday"
"negative"," united i locked myself out of my account and needed access to book a flight "
"negative"," united just informed you don t reimburse for issues due to weather  this is why your flights keep getting cancelled flightled  thor hates you"
"negative"," jetblue i ve heard your new in flight tap to pay readers accept only apple pay  i thought that was impossible  amp  certainly not emv compliant"
"negative"," united the delay is due to customer service for 20 people   what about the dis service you provided for 100     flightfail  hour20delay"
"neutral"," usairways through  can you confirm that i haven t been charged "
"neutral"," southwestair i am but it says yall are sold out  me  amp  my coworkers would need to get out first available"
"neutral"," jetblue can i change my flight if i already printed my boarding pass "
"negative","  americanair i can t even get on the phone with your reservations team  the system automatically disconnects us "
